filename,filepath,emotion_code,emotion,intensity,statement,repetition,actor,gender
03-01-01-01-01-01-01.wav,..\data\raw\RAVDESS\Actor_01\03-01-01-01-01-01-01.wav,01,Neutral,Normal,Kids are talking by the door,1,1,Male
03-01-01-01-01-02-01.wav,..\data\raw\RAVDESS\Actor_01\03-01-01-01-01-02-01.wav,01,Neutral,Normal,Kids are talking by the door,2,1,Male
03-01-01-01-02-01-01.wav,..\data\raw\RAVDESS\Actor_01\03-01-01-01-02-01-01.wav,01,Neutral,Normal,Dogs are sitting by the door,1,1,Male
03-01-01-01-02-02-01.wav,..\data\raw\RAVDESS\Actor_01\03-01-01-01-02-02-01.wav,01,Neutral,Normal,Dogs are sitting by the door,2,1,Male
03-01-02-01-01-01-01.wav,..\data\raw\RAVDESS\Actor_01\03-01-02-01-01-01-01.wav,02,Calm,Normal,Kids are talking by the door,1,1,Male
03-01-02-01-01-02-01.wav,..\data\raw\RAVDESS\Actor_01\03-01-02-01-01-02-01.wav,02,Calm,Normal,Kids are talking by the door,2,1,Male
03-01-02-01-02-01-01.wav,..\data\raw\RAVDESS\Actor_01\03-01-02-01-02-01-01.wav,02,Calm,Normal,Dogs are sitting by the door,1,1,Male
03-01-02-01-02-02-01.wav,..\data\raw\RAVDESS\Actor_01\03-01-02-01-02-02-01.wav,02,Calm,Normal,Dogs are sitting by the door,2,1,Male
03-01-02-02-01-01-01.wav,..\data\raw\RAVDESS\Actor_01\03-01-02-02-01-01-01.wav,02,Calm,Strong,Kids are talking by the door,1,1,Male
03-01-02-02-01-02-01.wav,..\data\raw\RAVDESS\Actor_01\03-01-02-02-01-02-01.wav,02,Calm,Strong,Kids are talking by the door,2,1,Male
03-01-02-02-02-01-01.wav,..\data\raw\RAVDESS\Actor_01\03-01-02-02-02-01-01.wav,02,Calm,Strong,Dogs are sitting by the door,1,1,Male
03-01-02-02-02-02-01.wav,..\data\raw\RAVDESS\Actor_01\03-01-02-02-02-02-01.wav,02,Calm,Strong,Dogs are sitting by the door,2,1,Male
03-01-03-01-01-01-01.wav,..\data\raw\RAVDESS\Actor_01\03-01-03-01-01-01-01.wav,03,Happy,Normal,Kids are talking by the door,1,1,Male
03-01-03-01-01-02-01.wav,..\data\raw\RAVDESS\Actor_01\03-01-03-01-01-02-01.wav,03,Happy,Normal,Kids are talking by the door,2,1,Male
03-01-03-01-02-01-01.wav,..\data\raw\RAVDESS\Actor_01\03-01-03-01-02-01-01.wav,03,Happy,Normal,Dogs are sitting by the door,1,1,Male
03-01-03-01-02-02-01.wav,..\data\raw\RAVDESS\Actor_01\03-01-03-01-02-02-01.wav,03,Happy,Normal,Dogs are sitting by the door,2,1,Male
03-01-03-02-01-01-01.wav,..\data\raw\RAVDESS\Actor_01\03-01-03-02-01-01-01.wav,03,Happy,Strong,Kids are talking by the door,1,1,Male
03-01-03-02-01-02-01.wav,..\data\raw\RAVDESS\Actor_01\03-01-03-02-01-02-01.wav,03,Happy,Strong,Kids are talking by the door,2,1,Male
03-01-03-02-02-01-01.wav,..\data\raw\RAVDESS\Actor_01\03-01-03-02-02-01-01.wav,03,Happy,Strong,Dogs are sitting by the door,1,1,Male
03-01-03-02-02-02-01.wav,..\data\raw\RAVDESS\Actor_01\03-01-03-02-02-02-01.wav,03,Happy,Strong,Dogs are sitting by the door,2,1,Male
03-01-04-01-01-01-01.wav,..\data\raw\RAVDESS\Actor_01\03-01-04-01-01-01-01.wav,04,Sad,Normal,Kids are talking by the door,1,1,Male
03-01-04-01-01-02-01.wav,..\data\raw\RAVDESS\Actor_01\03-01-04-01-01-02-01.wav,04,Sad,Normal,Kids are talking by the door,2,1,Male
